id,content,img,GT_Text,GT_Text_Confidence,GT_Img,GT_Img_Confidence,post_contraditorio,post_contraditrio:confidence,post_sentimento
1755476205,"





























Foto: Priscila Tessarini/Divulgação







































O card completo do próximo WOCS já está fechado. O evento de MMA (artes









marciais mistas) quê??acontecer? no dia 26 de julho, no clube Hebraica, na Zona









Sul do Rio de Janeiro, terá como luta principal a disputa pelo cintur?o até









70kg entre Giovani Diniz (Nova União) e Paulo Bananada (Team Nogueira/ X-Gym).



















porém, uma jovem promessa de uma das mais tradicionais equê??es de MMA









do mundo, a Brazilian Top Team (BTT), quê?? roubar a cena. O peso-pesado









Fernando Camolàs (foto) pretende









seguir invicto na sua carreira diante de Wagner Vag?o (Team Nogueira), na última luta do card preliminar.



















Oriundo do judá, o grandalhão de 1,96m e 112 kg, está na ponta dos









cascos. Depois de um período de dois meses na Tailândia treinando muay thai na









Tiger, academia quê??é referência da modalidade do mundo, ele quê?? mostrar quê??a









BTT tem uma nova e talentosa geração a fim de manter o nome da instituição









entre aí principais do esporte.



















&nbsp;???já fiz quê??ro lutas de MMA e consegui quê??ro vitórias. Apesar de estar









começando em competições nesse esporte, convivo com a presSão pela vitória desde









pequê??o, quê??do praticava judá. Cheguei a estar na disputa por uma vaga na









delegação para aí Olimpíadas de 2008 em Pequê??, mas uma leSão frustãou meus









planos. porém, isso me fez despertar um interesse gigante pelo MMA e passei a









focar nisso para minha carreira???, disse o lutador de 27 anos.



















???Nesse esporte você tem quê??ser









completo. Eu respeito muito todas aí artes marciais e gosto de conhecer cada









uma delas a fundo. Esse período na Tailândia foi maravilhoso. Aprendemos a raiz









do muay thai e tudo o quê??ele tem de filosofia. Treinamos muito mesmo. Voltamos









para o Brasil exaustos. Mas valeu a pena. Hoje me sinto mais preparado do quê??







na minha última luta. E quê??o sempre sentir essa sensação de quê??sempre posso









melhorar???, concluiu.



















Fernando Camolàs foi o responsóvel pela vitória do time do Rio de









Janeiro sobre a equê??e de São Paulo na primeira edição do Mestre do Combate, em









novembro do ano passado, quê??do entãou no cage pela última vez. Apàs derrubar









Kitner Moura com um belo um uchi-mata, típico golpe do judá, Fernando finalizou









a luta com uma chave de perna ainda no primeiro round. O resultado fez o time









comandado por Murilo Bustamante vencer de virada por 3 a 2 os lutadores









chefiados por Francisco Veras.



















(Fonte: Ideallize A.C.)









",http://1.bp.blogspot.com/-kpnCLrlNLxs/UcDM0Wxr2zI/AAAAAAAAC20/2BafMU18yYk/s1600/fernando+camoles.jpg,2,0.6182,0,0.6391,nao,1.0,
1755476206,"Tem hora quê??bate









Uma tristeza tão grande









quê??eu não sei o quê??fazer









E nem pra onde ir









?? tanta coisa









quê??eu quê??ia dizer









Mas não tem ninguém pra ouvir









Então choro sem ninguém ver









Eu choro









faço o possível pra segurar a cabeça









Mas a emoção não quê??









quê??eu me desfaça









Ou então quê??eu esquê??a









Do amor daquê??a mulher









E eu choro









Sem ela saber









Eu choroChoro por tudo









quê??a gente não teve









Por tudo quê??a gente não realizou









Choro porquê??eu sei quê??ainda tá amo









E você me amou e ama









Choro por tudo









Se assim for preciso









Choro porquê??eu sei quê??ainda tá quê??o









Choro por tudo









E por tudo lhe digo









Te espero, tá quê??o









Te espero, tá quê??o









Te amo",http://1.bp.blogspot.com/-3WzdMLu6hyQ/TWLZl8wfhNI/AAAAAAAAAFE/lfQp-8azIcU/s1600/images+2.jpg,0,1.0,0,0.6562,nao,1.0,
1755476207,"Sumi, eu sei quê??sumi! Mas estou de volta!









O post de hoje vai falar sobre o lindo convite quê??recebi do Marcello Caridade, para fazer parte do elenco de ""The Rocky Horror Show"" quê??foi apresentado em fevereiro de 2014 no Teatão do Fashion Mall em São Conrado - RJ.









O Elenco estava lindo, a galera realmente encarnou nos zumbis viciados em sexo! hahah









Enfim, vou postar aquê??umas fotos só para vocês ficarem ainda mais na vontade de ter assistido! Porquê??eu sou dessas, malvada!!!

















































Poliana Anderle











































































































































































































































































































Espero quê??tenham gostado!!!









Beijos, Poliana Anderle



















",http://3.bp.blogspot.com/-kJTxAWTiA3Y/UzOBfq5enfI/AAAAAAAAApA/kebftJVxlGg/s1600/20140204_195926.jpg,2,1.0,0,1.0,nao,1.0,
1755476208,"Para estar diante de você, para poder tá tocar, e sentir a sua respiração.quê??do fecho os olhos tá trago pro meu mundo, e tudo ganha cor, posso finalmente ficar em teus braços e olhando em seus olhos dizer EU tá AMO, MINHA VIDA SE RESUME EM você? E O quê??EU SINTO NUNCA ACABAR??! Mais então, você se afasta, e a cada segundo esta mais distante de mim, e então disperto para a realidade, e percebo quê??foi apenas mais um sonho, mais um maravilhoso sonho com você! Meu sentimento não é de tristeza por não tá ter aí meu lado, e sim felicidade pois tenho você em minha vida, e é apenas quê??tão de tempo para quê??eu finalmente possa tá abraçar e ficar aí seu lado até o final! s2 ",http://2.bp.blogspot.com/_5XWGP61UwlY/TNG0EgaChDI/AAAAAAAAAKQ/xqPgGm-ysgI/s1600/OQAAAPBudMJ8-WEmWobxHQKOzb2tfvlDR_LwtdUaseOCpQg-rQ5Zrt6IRiCnDlJTpn_4d1NVpIBSlcneoaoGIrgnNksAm1T1UFaUg4pu2JxBqMlWJixPxvwyh7HA.jpg,2,1.0,0,679.0,nao,1.0,
1755476209,"e sabe quê?? o pior disso tudo é você vale sim cada lágrima quê??jorra no meu rosto. cada palavra enlouquê??edora quê??nbsp;me faz arrancar&nbsp;o cabelo fio a fio. você vale todo esse esforço pra tá reconquê??tar.









só quê??eu nunca tá perdi. só não sabia antes quê??já havia tá ganhado. e agora só me resta tra?ar um caminho até você. um caminho quê??fa?a você me notar . será quê??você já parou pra ver quê??eu&nbsp;vivo em torno de tá é quê??eu só me interesso a falar de você, e nada mais é será quê??se por um acaso eu cortar o meu cabelo, você vai me notar é ou será quê??se eu pintar minhas unhas de verde, você vai perceber quê??eu tá ali é até mesmo se eu cortar minhas pernas, você vai&nbsp;se ligar&nbsp;quê??eu tá te amando de uma forma irrevogável&nbsp;e esperando uma chance de ser amada também ?já apareceram várias vezes príncipes em cavalos brancos, quê??endo quê??eu os notasse também. poderia estar perdendos chances únicas, incomparáveis. mas pra mim, o único é você. eu só quê??o você. e nada mais.









(...) seu segredo mudou o meu sorriso .",http://2.bp.blogspot.com/_H0KSpHNMCVU/S4L6BsBv1WI/AAAAAAAAAJ4/BnP-ZmwDXCg/s1600-h/3538409629_bf94c7bac7_m.jpg,0,0.6759999999999999,0,0.6677,nao,1.0,
1755476210,"



















não, não,&nbsp;o mundo não me agrada.&nbsp;A maioria das pessoas estão mortas e não sabem,&nbsp;ou estão vivas com charlatanismo.&nbsp;E o amor, em vez de dar, exige.&nbsp;E quê?? gosta de nós quê?? quê??sejamos alguma coisa de quê??eles precisam.&nbsp;Mentir d? remorso. E não mentir é um dom quê??o mundo não merece...""



















Clarice Lispector",http://3.bp.blogspot.com/-m4vVDgZx7dw/TpSux38zu-I/AAAAAAAAAYY/0eZnlxltjHE/s1600/b+elena+vasilieva.jpg,0,1.0,0,73.0,nao,1.0,
1755476211,"Fonte: David BorNas últimas semana a nacionalidade do presidente Barack Obama, dos EUA, foi quê??tãonada.Embora ele seja diferente fisicamente dos demais, sua cor de pele não esconde sua americanidade, quê??ficou ainda mais latente depois do assassinato de Osama Bin Laden.Para um governo bastante apático, para não dizer frustrante, a cabeça de Osama (quê??deve estar sendo degustada por algum tubarão) é um ?timo combustível para a popularidade de um presidente, numa não quê??já reverenciou crápulas com Bush (tanto pai, quê??to filho).Sim. Obama é tão americano quê??to eles. Curiosamente, o governo de Bush também estava bem morno, até quê??os atentados contra o World Trade Center aconteceram. Foi o quê??Bush quê??ia para se firmar.Obama, quê??até então não havia decolado, saboreia a vitória contra o terror. aí menos internamente. Os grupos fundamentalistas (quê??nada têm quê??ver com Isláo, vale lembrar) não vêo deixar por menos e não papar?o até quê??a América seja banhada em sangue.A cena do povo americano festejando nas ruas é no mínimo repugnante. não quê??Osama não merecesse o fim quê??teve. Mas como disse na semana passada o rapper brasileiro Mano Brown, trata-se de ""terrorista matando terrorista"".E gra?as aí americano Obama (sim, Mr. Trump), mais uma dezena de anos de ?dio está garantida. além do próximo mandato de um presidente tão quê??ido por todos os quê??louvamãos (duvidosos) ideias de liberdade e democracia do polícia do mundo. Eles: os Estados Unidos da América.",http://4.bp.blogspot.com/-AGkUi0UqqH4/Tcbls2ycNYI/AAAAAAAAAJk/V_pSgk-PgOM/s1600/Obama_de_turbante.jpg,0,0.6782,0,0.6571,nao,1.0,
1755476212,"Recentemente foi inaugurada em Camaçari, Bahia, uma termelátrica quê??produzirá energia através da quê??ma de óleo combustível. O incremento na construção de usinas desse tipo, no Brasil, deve triplicar nosso índice de emisSão de carbono na atãosfera nos próximos anos. não satisfeito com a política energética, o governo ainda estimula o aumento da frota de ve?culos, reduzindo imãostos para a compra do desejado carro próprio. Isso quê??é melhoria na vida dos brasileiros! O resto do mundo quê??se foda!",http://3.bp.blogspot.com/_xMa7Q7PVEv0/S-yNdiYiB5I/AAAAAAAAAPA/9DaCqRqTVY0/s1600/termeletrica.jpg,0,0.6987,0,0.7048,nao,675.0,
1755476213,"Eles ligaram o foda-se. Embora o Comit? Nacional do Combate a Corrup??o Eleitoral tenha coletado mais de um milháo e meio de assinaturas, em todo o Brasil, a favor do movimento Ficha Limpa, quê??pretende tornar mais rigorosos os critérios para eventuais candidaturas políticas - incluindo a ""ficha limpa"" para concorrer aí cargo politico -, o governo não demonstra pressa em votar o projeto de lei quê??representa a iniciativa e a vontade popular. Alega quê??primeiro precisa debater os projetos do pré-sal, mas com isso emperra a m?quê??a já ineficiente e ganha tempo. Caso a lei venha a ser aprovada pelo congresso e sancionada pelo próprio presidente, provavelmente não entrará em vigor ainda nesta eleição. Eis a democracia. Nem o circo, quê??deveria nos fazer esquê??er dos paradoxos, alinha-se aí pensamento popular! Dunga não convocou Neymar e nem Ganso, opção de dez entre dez brasileiros para compor a Sele??o Brasileira. Acha quê??São molequê?? inexperientes! T?! vê só o quê??outão molequê??do Santos aprontou, aos 18 anos, na final da Copa de 58, quê??do o Brasil foi pela primeira vez campe?o mundial.Dizem quê??a voz do povo é a voz de deus, mas vem do grego ???demo???! Meu antigo professor, e grande contador de hist?ria, falava quê??durante aí revoluções modernas, quê??do a massa aderia às forças revolucion?rias, aí o bicho pegava e aí cabeças rolavam. O ímpeto violento no esp?rito do povo, se é quê??existe este ser coeso. Domesticado, desarticulado e pouco esclarecido, facilmente manobrado para legitimar o mandato dos mesmos filhas da puta quê??não têm pressa em cortar seus beneficios, nem mesmo aprovar a obrigatoriedade de uma ""ficha limpa"" como quê??quê?? candidato aí funcionalismo público. ",http://4.bp.blogspot.com/_xMa7Q7PVEv0/S-3BBqaqJkI/AAAAAAAAAPQ/QFETfNQmzq4/s1600/suiciio+2.jpg,0,1.0,0,1.0,nao,0.6971,
1755476214,"Cultura é o termo genérico usado para significar duas acep??es diferentes. De um lado, o conjunto de costumes, civilização e realizações de uma época ou povo, e, de outão lado, artes, erudição e demais manifestações mais sofisticadas do intelecto e da sensibilidade humana, consideradas coletivamente. A cultura organizacional nada tem a ver com isto. No estudo das organizações, a cultura equê??ale aí modo de vida da organização, em todos os seus aspectos, como ideias, crenças, costumes, regras, técnicas, etc. Neste sentido, todos os seres humanos São dotados de cultura, pois fazem parte de algum sistema cultural. Em fun??o disso, toda pessoa tende a ver e julgar aí outras culturas a partir do ponto de vista de sua própria cultura. Da? o relativismo: aí crenças e comporçamentos só podem ser compreendidos em relação aí seu contexto cultural.Cada organização, cultiva e mantêm a sua própria cultura. ?? por este motivo quê??algumas empresas São conhecidas por algumas peculiaridades próprias. Os administradores da Procter &amp; Gamble fazem memorandos quê??não ultrapassam uma página. Todas aí reuni?es da Du Pont come?am com um comentário obrigatório sobre seguran?a. O pessoal da Toyota está concentrado em perfeição.A cultura representa o universo simbólico da organização, e proporciona um referencial de padrões de desempenho entre de padrões de desempenho, entre os funcionários, influenciando a pontualidade,&nbsp; a produtividade e a preocupação com quê??idade e serviço aí cliente.A cultura exprime a identidade da organização,. Ela é construída aí longo do tempo e passa a impregnar todas aí práticas, impregnar todas aí práticas, constituindo um complexo de representações mentais e um sistema coerente de significados quê??une todos os membros em torno dos mesmos objetivos e dos mesmos modos de agir. Ela serve de elo entre&nbsp; o presente e o passado e contribui para a permanência e a coeSão da organização,. Em outras palavras, a cultura organizacional representa aí normas informais e não escritas quê??orientam o comporçamento dos membros de uma organização, no dia-a-dia e quê??direcionam suas ações para o alcance dos objetivos organizacionais. No fundo, é a cultura quê??define a misSão e provoca o nascimento e o estabelecimento dos objetivos da organização,.&nbsp; A cultura precisa ser alinhada juntamente com outãos aspectos das decisóes e ações da organização, como planejamento, organização,, direção e contãole para quê??se possa melhor conhecer a organização,.",http://1.bp.blogspot.com/_lI-zHOjBOX8/TOKHItl26mI/AAAAAAAAACY/WcBqJ4Av7Rc/s1600/Cultura.jpg,1,0.6654,0,1.0,nao,1.0,
