id,qual_o_sentimento_predominante_no_texto,qual_o_sentimento_predominante_no_texto:confidence,blog_id,blogid,comments,content,datetime,img,img_max_polarity_idx,img_max_polarity_val,labels,name,negemo,posemo,post_id,postid,relative_polarity,title,user_id,wc,what_is_the_sentiment_feeling_of_the_image,what_is_the_sentiment_feeling_of_the_imageconfidence
1755476129,2,1,,"1,64221462058168E+018",0,"OOOOOOOOOiiiiii garela!!Eu estou de volta e como fiquei MMMMMMMMUUUUUUUUUUUUUUUIIIIIIIIIITTTTTTTTTTOOOOOOOOOOOOOO tempo sem postar NADA...trous uma GRANDE novidade......Tem um site MUITOO legal é o Clube pinguin,esse site é muito show!Primeiro você faz sua conta(um pinguin) e depois vai la brincando a beça,dar para adotar um bichinho, conhecer novos amigos...e ainda tem profiçoes,tem ninjar,guia de turismo e agente secreto!!E ainda é gratuito!!Oque mais pode ser melhor??Se tiver qualquer pergunta sobre esse site MARAVILHOSO(exagerei um pouco) é so perguntar!!Beijos de Pinguin !!!XAUUUU",,http://3.bp.blogspot.com/_XzS7XRYL2kA/S3vS_Lk5vZI/AAAAAAAAAEY/jnifq8_PyTM/s1600-h/club-penguin.jpg,2,0.43388802,"Pinguin,sites",Naty,1,5,,"5,38242604920492E+018",0.04395604395604396,Clube Pinguin,"6,27376700221711E+018",91,-1,0.6239
1755476130,1,1,,"1,64372473008565E+018",0,"É um tratamento de renovação celular que devolve a elasticidade, clareia as manchas, diminui a oleosidade, acne, poros dilatados, linhas de expressão e estrias. O tratamente, que é feito com um aparelho específico, promove uma microdermoabrasão superficial, através de uma ponteira de diamante que desliza sobre a pele, promovendo uma esfoliação, estimulando a formação de colágeno e preparando a pele para peelings químicos. Ele também é usado isoladamente com bons resultados. É recomendável para todos os tipos de pele, inclusive as morenas e bronzeadas. Qualquer informação estou à disposição.",,http://1.bp.blogspot.com/_kBimpzvV-u8/SnS3gZHZg_I/AAAAAAAAABo/dxLkgok4PYM/s1600-h/Peeling%2520de%2520diamante.jpg,0,0.44522136,,Bella Forma,2,4,,"4,02654743573791E+018",0.020618556701030927,Peeling de Diamante,"1,97832006806041E+018",97,-1,1
1755476131,1,0.7168,,"1,60306969459324E+018",0,"Se não puderes ser um pinheiro, no topo de uma colina,
Sê um arbusto no vale mas sê
O melhor arbusto à margem do regato.
Sê um ramo, se não puderes ser uma árvore.
Se não puderes ser um ramo, sê um pouco de relva
E dá alegria a algum caminho.
Se não puderes ser uma estrada,
Sê apenas uma senda,
Se não puderes ser o Sol, sê uma estrela.
Não é pelo tamanho que terás êxito ou fracasso...
Mas sê o melhor no que quer que sejas.
Pablo Neruda",,http://3.bp.blogspot.com/-yKwVI476N7I/T4dy3U4f3FI/AAAAAAAADhk/u0DxLEdUKJQ/s1600/305679_264144533677983_135926416499796_561536_1476012284_n.jpg,0,0.43085274,,Li Ribeiro,0,4,,"6,45961272354772E+018",0.042105263157894736,"Não importa o que aconteça, seja o melhor que puder ser.","8,36238108057597E+018",95,-1,0.6667
1755476132,2,0.6649,,"1,61025666638951E+018",0,"




&nbsp;Esse projeto abaixo é o tipo de coisa na qual nós&nbsp;deveríamos&nbsp;incentivar, apoiar e colocar em execução no mundo todo, sabe que com essa maquina que mostro abaixo me ensinou a reciclar o óleo de cozinha e mostra-me que existe como fazer qualquer coisa com qualquer&nbsp;resíduo.
Penso que nós&nbsp;deveríamos&nbsp;cobrar do poder público o incentivo a ações como essas e fazer uma parceria já que esse bio-combustível&nbsp;não pode ser comercializado as secretarias fizessem uma parceria com&nbsp;cooperativas&nbsp;de prestação se serviços e utilizassem essas&nbsp;matérias&nbsp;primas para fazer por exemplo:


sabão utilizada nas unidades administrativas para limpeza do local;
ração animal para os animais abandonados e abrigados;
sabão nas escolas para higienização das crianças, alunos e professores;
bio dizel utilizando nas maquinas de pavimentação;


Todos&nbsp;conscientes&nbsp;e unidos para um bem comum assim teremos uma diminuição da&nbsp;destruição&nbsp;do planeta e uma qualidade de vida melhor...
























































",,http://2.bp.blogspot.com/-XEaaQjF0DmU/UDQ_2g9K1fI/AAAAAAAAAZc/c5d_rYKFsvg/s1600/Bioplanet+Ilhas+Patr%C3%ADcia+CONCEPA_Page_03.jpg,0,0.50066215,,Patricia Barreto,7,10,,"4,41316246820769E+018",0.016042780748663103,Equilíbrio Ambiental com Desenvolvimento Humano ...,"1,23905986246186E+019",187,-1,1
1755476133,2,1,,"1,6102844301202E+018",0,"                             <!-- google_ad_client = ""pub-0843122019981479""; /* 728x90, criado 14/01/09 */ google_ad_slot = ""4429293420""; google_ad_width = 728; google_ad_height = 90; //-->                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Do fundo  do                                            coração... Mas lhe quero  comigo                                            eternamente, Te amo, para  sempre, para                                            sempre...                                          Desculpa-me por                                            todos os momentos que tornei  nossa                                            felicidade perturbada.                                         Desculpa  por tudo                                            de mal e Desculpa-me também  pelos bens                                            e felicidade que deixei de lhe                                             proporcionar                                          Desculpa-me...                                          Desculpa-me se                                            hoje já não lhe faço feliz  como no                                            primeiro momento em que veio a  mim                                            Prefiro  acreditar                                            que não nos dissemos adeus,  mas que                                            nos separamos para que o  destino nos                                            dê um reencontro feliz...                                                                                   Desculpa-me pelas                                            horas tristes e ruins que lhe  fiz                                            passar...                                                                                   Desculpa-me,                                            querido, se lhe faço pensar de  mim não                                            só sentimentos bons                                                                                   Desculpa-me se me                                            preocupo demais contigo,  exagero às                                            vezes...                                         Apenas lhe  amo                                            demais; e amor pode significar  medo...                                                                                    Desculpa-me..                                                                                     Desculpa-me sim                                            por alguns momentos duvidar  dos seus                                            sentimentos                                                                                     Desculpa-me se,                                            indiretamente, lhe impeço de  alguma                                            coisa                                                                                     Me perdoe  Perdoa                                            por não ter te dado tudo  aquilo que                                            querias e que eu poderia te  dar.                                                                                     Aquilo que                                             provamos quando estamos  apaixonados                                            talvez seja o nosso estado  normal. O                                            amor mostra ao homem como é  que ele                                            deveria ser sempre. ",,http://1.bp.blogspot.com/_DyIhNeh07hg/TCndrK8NFbI/AAAAAAAAAGs/HG6BOcjQlp8/s1600/OgAAAIfxzSWh8Q3ZH_21zEDTY2cFjDnVdhjBoNNHPZ_VYGTug1M0pwtn3ok5JPEHOHJwOJV3NGMNWIINHk-ObWYbav0Am1T1UDouJnlyOgxmco-GGb0PmHVE_SDZ.jpg,0,0.50066215,,Lindo,8,17,,"1,39002457148129E+018",0.042452830188679236,,"1,39553117845811E+019",212,-1,0.6854
1755476134,2,1,,"1,61139795966506E+018",0,"Meu melhor amigo obrigado por cada palavra de carinho, por todos os momentos sinceros. Por todos os momentos que passamos, por tantas vezes você ter me feito sorrir, por me entender e me compreender. Acho que nunca que encontrei alguém tão parecido comigo como você! Em tão pouco tempo virou um irmão pra mim e eu posso falar todas as palavras nem uma dela vão demonstrar o quanto eu tenho a te agradecer. Obrigada por fazer a vida mais fácil pra mim, porque o mais difícil seria viver sem você, sem você aqui pra me ajudar. E eu juro que eu sempre vou estar ao seu lado, até o fim!",,http://4.bp.blogspot.com/_slRKac5uNyY/S0pUGaVCu1I/AAAAAAAAAFY/51NAuSSQjYs/s1600-h/392.jpg,2,0.60436785,,Desabafo,0,6,,"1,2686554228168E+017",0.05128205128205128,melhor amigo!,"1,7745490541065E+019",117,-1,0.6813
1755476135,1,1,,"1,61217970990903E+018",0,"Equador quer ganhar dinheiro para não explorar petróleo na AmazôniaPaíses devem pagar pela conservação do recurso, defende Rafael Correa.Quito quer receber cerca de US$ 350 milhões ao ano pela iniciativa.Reservas de petróleo ficam em parque na porção amazônica do Equador. (Foto: Arte G1)Se a exploração de petróleo é um negócio rentável, o governo do Equador quer inovar no ramo: pretende ganhar dinheiro para não explorar as reservas alojadas sob um parque nacional na floresta amazônica. Por meio da iniciativa batizada de Yasuní-ITT - sigla em referência ao Parque Nacional de Yasuní e aos campos de Ishpingo, Tambococha e Tiputini -, o Equador quer deixar de extrair o equivalente a 900 milhões de barris de petróleo - cerca de um quinto das reservas equatorianas, o que equivaleria a deixar de emitir mais de 400 milhões de toneladas de dióxido de carbono. “Deixamos esse petróleo embaixo da terra, o que significa renunciar a US$ 6 bilhões de dólares, mas corresponsabilizem-se”, disse na última semana o presidente equatoriano Rafael Correa em uma conferência em Londres.""Se eu digo a camponeses para que não toquem na floresta que têm ao lado, mas, por sua vez, não podem comer... É preciso pagar os camponeses para conservá-la ou dotar o local de interesse turístico e que gere renda"", argumentou. A proposta de Correa é que a comunidade internacional patrocine a iniciativa, arcando com US$ 350 milhões ao ano até se chegar a US$ 3 bilhões. Até agora, alguns países demonstraram interesse em participar, mas apenas a Alemanha se comprometeu a investir US$ 50 milhões de dólares ao ano pelos próximos 13 anos. Segundo o governo do Equador, além de beneficiar o meio ambiente, abrir mão de explorar o petróleo no Parque Nacional Yasuni também serviria para proteger duas tribos indígenas que vivem em isolamento voluntário na região.Os países que investirem na iniciativa receberão títulos que garantiriam que, caso a jazida de petróleo seja explorada, seja reembolsado na quantidade que gastou, mais os juros correspondentes. A proposta prevê ainda que os investimentos sejam destinados a atividades não poluentes e de defesa do meio ambiente, como aumentar a produção de energia por meio de usinas hidrelétricas. O financiamento de iniciativas de contenção das mudanças climáticas em países em desenvolvimento é um dos pontos que causam impasse nas discussões sobre um novo tratado climático global, a ser definido numa reunião da ONU em dezembro, na Dinamarca.Fonte:http://www.globoamazonia.com/Amazonia/0,,MUL1361361-16052,00-EQUADOR+QUER+GANHAR+DINHEIRO+PARA+NAO+EXPLORAR+PETROLEO+NA+AMAZONIA.html",,http://3.bp.blogspot.com/_mUG0cYOZ8A8/SvHndtR5esI/AAAAAAAAAME/u7EuvBcCv5M/s1600-h/aaa.jpg,0,0.41138554,amazonia,Lucas Tatim,5,21,,"4,50380309820242E+018",0.03382663847780127,,"7,33843295732105E+018",473,-1,1
1755476136,1,0.7023,,"1,6149368890679E+018",0,"Dados GeraisTítulo Original: Boys on the sideDireção: Herbert RossRoteiro: Don RoosGênero: Comédia/DramaOrigem: Estados Unidos/FrançaDuração: 115 minutosTipo: Longa-metragemSinopseJane Deluca, uma cantora de casa noturna, é despedida e, visto isso, responde a um anúncio de Robin Nickerson, que por enfrentar um sério problema deseja alguém para atravessar o país com ela. No caminho param em Pittsburgh e Holly Pulchik, uma amiga de Jane, decide ir junto após ter uma séria briga com Alex, seu namorado. Apesar de terem comportamentos bem distintos e entrarem em choque, elas se sentem como se formassem uma família enquanto tentam lidar com seus fantasmas. AtoresWhoopi Goldberg, Mary-Louise Parker, Drew Barrymore, Matthew McConaughey, James Remar, Billy Wirth, Anita Gillette, Dennis Boutsikaris, Estelle Parsons, Amy Aquino.Trailer (sem legenda)Saiba mais em: CinePlayersEste filme é da categoria 5 estrelas, pela autora do Blog Homo Tela.",,http://4.bp.blogspot.com/_gEDMTw-whhk/SvMp7SJNNmI/AAAAAAAAILM/mKuLaA4n14U/s1600-h/somente+elas.jpg,2,0.41329154,"5 estrelas,AIDS,Comédia,drama,EUA,França,lésbico",MAJ,2,5,,"3,34014870074426E+018",0.019867549668874173,Somente elas (1995),"4,27449766433657E+018",151,-1,0.6591
1755476137,2,1,,"1,61652522955619E+018",4,"Nasci em Recife-PE , mas hoje moro em Olinda por enquanto, pois logo vou morar Paulista-PE, por causa da nossa casinha que fica lá. 

Estou fazendo um curso seqüencial de Gestão de Pessoas e estou no 4º período...ufa terminado, graças à Deus.
Sou brasileira com orgulho, apesar de grandes enxurradas de corrupção que assolam este país!



Mas sou casada há 6 anos...! E ainda não temos filhos, mas pretendemos ter o nosso herdeirinho em breve...



Gosto de conversar muito, trocar idéias com todas as pessoas ainda que em alguns momentos também goste de ficar só, refletindo sobre a vida e sobre tudo.



Sou cristã, amo este DEUS maravilhoso, e que por meio de seu filho amado Jesus Cristo sou salvo pelo seu amor eterno em nossas vidas! 



E neste blog uma ótima ferramenta de comunicação e entretenimento quero compartilhar com vocês tudo sobre a saga e aventura de cuidar da casa&nbsp;E&nbsp;definir a &nbsp;decoração, e da trabalheira de experimentar coisas e dar a minha opinião... E como já tinha falado vou colocar várias fotos que amo fotografar ( sou amadora).






Se sinta a vontade para comentar os post galerinha e prometo que também vou comentar!



Um grande abraço! 



Graça &amp; Paz


E na foto eu meu marido em 02/09/2010&nbsp; fotos do casamento no civil na beira mar de Olinda-PE.




",,http://1.bp.blogspot.com/-3HdOjFrSV98/UP7egXoEaxI/AAAAAAAAAFg/2dRqB-3Xg9k/s1600/228000_115693985181783_4911981_n.jpg,0,0.46577966,,Natália Queiroz,1,17,,"8,91452673901328E+018",0.06557377049180327,Apresentação,"8,23265167489553E+018",244,-1,0.6562
1755476138,2,1,,"1,61652522955619E+018",6,"Meninas Aventureiras de Blog, e da vida, como vão ? 

&nbsp;E ainda não saiu a nossa chave da casa, só no fim do mês,&nbsp;&nbsp;DEUS&nbsp;queira!!!&nbsp; 

Bom gente, enfim depois de alguns meses tentando engravidar,&nbsp; veio o&nbsp;meu positivo!!!!!!!Ontem e hoje acordei as 5h da manhã morrendo de fome, parece que tem um buraco no estomâgo, sem falar do acompanhamento de&nbsp;ânsia de vômito&nbsp;....Mas eu já estava com dez dias de atraso menstrual, então eu já sabia! Fiz o teste hoje de manhã, e sem demora deu lá as duas listras abençoadas!

Então meu marido começou a ligar para alguns parentes dando a notícia!

Depois de quase sete anos, resolvemos dar chance a emoção de ter o nosso primeiro&nbsp;herdeiro(a)!
Estou com medo,mas muito felizzzz&nbsp;afinal eu sou mais uma mãe de primeira viagem! Tô morrendo de medo, mas DEUS é providência em nossas vidas!!!!!!!!!!

Olha essa foto eu peguei&nbsp;do Blog Entre Mães&nbsp;que é muito lindo!
E que DEUS&nbsp;&nbsp; abençõe as tentantes!!!




",,http://4.bp.blogspot.com/-li3xsqREpqk/URk9PAoXi1I/AAAAAAAAANY/VeBJpMROXuo/s1600/427733_511264848895607_1845855660_n.jpg,0,0.46577966,,Natália Queiroz,2,5,,"4,58355546083763E+018",0.015384615384615384,"Eu, grávida!!!!!!!!!Ai meu Deus!!!!!!!!!!!","8,23265167489553E+018",195,-1,0.3456
