,0,1,2,3,4,5,6,7,8
500854,1948084404852062555,1600150720124276213,2010-08-23T13:34:00-07:00,,"MOMENTOS QUE NÃO VOLTAMlá estava Mario,sentado naquela mesa de bar imundo,afogando suas magoas num bom e velho wisque.a vida não lhe era justa perdera tudo que tinha de melhor na vidafamilia,amigos e seu grande amor.em cada dose de wisque que tomava lhe vinha uma lembrança.lembrava de joão e de carlos,seus amigos que lhe ajudavam com a pescaria quando os peixesno mar se escondia.lembrava de dona odete sua mãe,que mais fiel não tinha e seu antonio seu pai,que não importava o momento ele sempre ria.lembrava de maria mulata bonita que seu corpo era a coisa mais bonita que ele via,mais la estava Mario sentado naquela mesa de bar imundo afogando suas magoas num bom e velho wisque.pensando nas coisas belas e terríveis que a vida lhe tinha proporcionado,tomando seu bom e velho wisque,arrotando suas magoas... e ali ficou Mario.",12251877929886116836,Joseane Oliveira,0,
500855,3389182929945948076,1600150720124276213,2011-02-11T09:06:00-08:00,,Olhar inocente é esse teu que me encantasorri como se o mundo não importassegrita alegre cantafaz todos em sua volta feliz ficar.te faz esquecer as dores do mundote encanta em um segundote faz chorar de emoçãote faz ver que a vida não é só decepçãote traz todas as esperançascomo é lindo o olhar de uma criança.,12251877929886116836,Joseane Oliveira,0,
500902,1758535807987062544,1600243421545479450,2011-01-04T19:52:00-08:00,Sem nada pra falar,"Oi gente, já é 01h40min e nem sei se eu falo Boa Noite ow ""Boa Madruga"" (estranho) mais como eu naum tinha nada pra fazer&nbsp; á naum ser fikar lendo as atualizações dos meus amigos no Orkut e esperando o alê , resolvi da uma postadinha. Pois é sem nada pra falar... Quando comecei fazer o blog&nbsp; em disseram: quando vc naum tiver nada de interessante pra postar naum poste, mais no meu caso é justamente quando naum tenhu nada de interessante pra falar ow escrever ai começo pensar em coisas cabulosas, estranhas, divertidas&nbsp; a até mesmo ridículas, então pensei que tal esse momento to aki sem exatamente nada pra escrever , pensei! Sei Lá do nada me lembrei da IsaTkm , muito ridículo , ta naum vou negar assistir os 3 primeiros capitulos , ate que estava legal , mais depois que vi algumas palhaçadas tipow ela falando “juro,juradinho” e fazendo cara de criança idiota ,lol naum sei como alguém pode gostar dakilo , é mais do que sem noção é apenas um bando&nbsp; de marmanjos com atos de crianças , falando igual crianças e tals.. isso é meio estranho por isso prefiro quase anjos... Lá os respectivos atores são menos idiotas, pensam mais e naum fikam falando coisas que eu falava pro meus amigos ow talvez minha mãe quando tinha 8 anos .... Porem tem gente que gosta! Normal....",17892276542874575533,NandaChan,0,
500928,1935344631607728653,16002902,2012-03-17T12:50:00-03:00,Simone de Beauvoir e o Facebook,"


O Facebook suspendeu por três dias a página de Fernando 
Rabelo, por ter postado esta célebre foto de Simone de Beauvoir 
(1908-1986) nua, feita pelo americano Art Shay, em Chicago, em 1952. 
Rabelo, que é fotógrafo e mantém um álbum no Facebook com imagens 
históricas, já havia sido suspenso por 24 horas pelo site, em novembro 
passado, por causa de uma famosa imagem da atriz francesa Emmanuelle 
Béart com os seios à mostra. Parece censura. E é. Parece burrice. E é 
também.

Fonte e texto: Ancelmo.com",g103261946446744378598,Ida Milezi Sartório,0,"arte,comportamento"
501077,7733541329688488242,1600384627149488083,2012-05-09T22:15:00-03:00,Você',"



Nessa vida que tive encontrei alguns caminhos por ai, caminhos vazios, sem rumo, sem destino, caminhos que quando olhado de longe parecem promissores, mas quando se entram nelas se vê que não tem nada a oferecer... A vida foi passando mais caminhos foram aparecendo uns cheguei caminhar outros só olhei e deixei pra lá’ Fui vivendo, aprendendo a ver cada um desses caminhos... as vezes entrava em um só para me divertir, mas logo via que não fazia sentido e que eram caminhos vazios.

Cheguei a pensar que nunca encontraria algum caminho que tivesse algo de verdade a me oferecer, algum sentido, algum destino...

&nbsp;Uma hora parei de me aventurar por esses caminhos tolos por ai, resolvi apenas andar em frente deixar meus pés me guiassem. Passei por outros lugares, vi pessoas novas, mas não as conheci, por que meus pés continuavam a caminhar, ate que um dia sem mais nem menos, eles me puseram em frente de um novo caminho, fiquei pensando “o que fazer?” cheguei a pensar por um momento que seria como os outros, mas algo me disse que não seria assim. Então por motivos de precaução revesti corpo e alma com muros... Mas de uma forma que não sei explicar minhas proteções foram por água abaixo. E o mais interessante de tudo isso é que gostei dessa queda dos muros.. Resolvi criar coragem e arriscar a trilhar por esse caminho que me encantou, fui aos poucos me aprofundando, indo alem, sem medo, sem receios... Fui caminhando e descobrindo um mundo no qual não imaginava existir. Me envolvi completamente por esse novo caminho, caminho que tomou conta da minha vida, caminho que depois que conheci não quis mais deixar. Caminho lindo, charmoso, encantador, caminho diferente, cheio de enigmas, caminho que por mais complicado que seja é o caminho que quero seguir. Nesse caminho encontrei tantas coisas: desejo, sonhos, carinhos, atenção, felicidade e amor. Encontrei tudo isso em um caminho que a vida me trouxe, um caminho com beleza, encanto, um caminho com jeito especial, cativante, envolvente... Caminho que possuem um nome. O seu.
",07877219552078985598,Rebeca de Andrade,1,caminho
501078,5345377075210410633,1600384627149488083,2012-01-18T20:49:00-02:00,,"Como saber se é&nbsp;confiável&nbsp;se não existe a certeza? Podemos dizer algo que seja totalmente o contrario do que esta ocorrendo. Mentiras bobas, mentiras supostamente precisas. To cansada delas, queria poder simplesmente viver na mais pura sinceridade, demonstrando o mais puro eu, sem medo de nada. Mas mesmo tendo medo vale a pena arriscar pelo um bem maior.",07877219552078985598,Rebeca de Andrade,0,
501299,5414884965894631390,160066148010777653,2012-02-27T19:25:00-08:00,COLHENDO FLORES ENTRE ESPINHOS,"(Imagem do Google)

Colhendo Flores Entre Espinhos

&nbsp; 
Um homem pessimista caminhavaindiferente a tudo em seu caminhopensava só no amor que não possuíaseguia com dificuldade e sozinho...
Em tudo enxergava a devastaçãono jardim de sua casa, havia espinhocomo aquele&nbsp;que trazia&nbsp;ao coraçãocarente de ternura e carinho...
Dias, meses e anos, de manhã ao sol poenteos campos de tulipas se cobrem de cor e vidanum quadro lindo estampado em sua frenteaquele homem abriu como flor a sua mente...
O que o fizera despertar? ...Fora o cansaçoou a solidão do seu destino?que esse despertar nunca se acabepois que de idoso, voltara a ser menino...
No dia em que o jardim de sua casa floresceusentiu-se pelo aroma atraídoo&nbsp;seu ser resplendia e num instante renasceupela blandícia que dali lhe vinha...
Pareceu-lhe que flores ali falavamde um jeito semelhante à poesiatodo o perfume que exalavamanunciava mais um dia de alegria!
Hoje, no silencio de uma vida solitáriaconvive com as pedras do caminhodeterminou que é bem melhor a afaziade caminhar colhendo flores entre espinhos!
Maria Lucia 

Lista dos Blogs que meus comentários não ficam registrados:Colhendo Flores entre Espinhos da querida Julianahttp://wwwcolhendofloresentreespinhos.blogspot.com/
Sementes...Sementes ...Sementes...da querida Elzinha http://brilhantesdoceu.blogspot.com/
Uma Pitada de Poesia do amigo Dilmarhttp://umapitada-de-poesia.blogspot.com/

E como não há outro meio de comunicar-lhes a minha ausência dos seus blogs,&nbsp; publicoaqui no meu&nbsp; blog, com a esperançade que fiquem sabendo desse contratempo...
Se algum amigo em comum, puder lhes comunicar , eu ficarei muito agradecida!
Beijos !",12551107226692161099,Maria Lucia,6,
501315,6093157510215873427,1600672147433775585,2010-09-01T20:13:00-03:00,ANIVERSÁRIO de 1 ANO do BLOG LUAN SANTANA!!!,"Hoje 01 de setembro de 2.010 nosso blog completa o seu primeiro ano online. Aproveitamos para agradecer a todos que nesse período contribuiram com suas visitas, dicas, perguntas e comentários. Hoje, no aniversário do blog, sinto-me muito feliz por ter redescoberto o prazer de escrever e ter feito tantas amizades virtuais. Esse é o maior presente: ligar o computador e ler os comentários de vocês, saber que pessoas de diversos lugares passaram por aqui, leram o que escrevemos, deram sua opinião… Obrigada por fazerem parte do nosso mundo!OIhando pra trás e vendo que há um ano a carreira do nosso querido Luan era totalmente diferente, hoje me sinto orgulhosa de ser fã desse artista que a cada dia conquista mais e mais o nosso país.Que DEUS o ilumine a cada dia para que ele possa nos trazer tantas alegrias como sempre tem feito e nós estaremos aqui sempre,apra registrar todos esses momentos!Andresa e Emília. ",08703047646303853425,Andresa Fonseca,17,Aniversário do Blog
501323,9076939965994553076,1600687773507498070,2011-07-30T17:53:00-07:00,"Viver ""sem vergonha "" ;)","Quem nunca sentiu vergonha ?  A vergonha é uma condição muito complicada,pois geralmente acaba afetando diversas áreas da vida. A começar por vergonha de si mesmo. Isso é muito comum pois a pessoa acha que tudo que ela faz e ela fala,o seu estilo,enfim... Tudo lhe parece estranho ou errado.  Muitas vezes você acaba de deixar de fazer coisas que você gosta,deixa de conversar com quem você gosta,deixa de usar uma roupa que você ache bonito por causa do que os outros pensam ou falam sobre você. Infelizmente,nos dias de hoje,o ser humano é INCRIVELMENTE movido a o que os outros pensam e falam sobre nós. Enfim o que eu realmente queria dizer é que devemos viver sem ter medo do que os outros vão pensar de nós,devemos viver INTENSAMENTE sem se preocupar com os outros,enfim além de tudo isso,o que vale é viver a procura da felicidade e quando encontrá-la,NÃO A DEIXE ESCAPAR!                                      ""Dê valor pras coisas,não pelo que elas                                                                             valem,mas pelo que significam.""",02359424893366103219,Tainah,0,
501342,757706276316554311,1600698430773359537,2012-03-31T11:03:00-07:00,unha de jornal,"


&nbsp;Dando uma vasculhada na internet achei uma técnica que é totalmente estilosa e bem diferente do que costumamos ver, a Unha de Jornal. É fácil e até rápido de fazer, só precisa de um pouquinho de cuidado e paciência.

&nbsp;Vamos ao material
▪ Pedacinhos (pequenos) de jornal, Mais ou menos do tamanho de um papel de bala, ou que você veja que ele dará na sua unha.
▪ Esmalte (*de preferência uma cor clarinha pra dá pra ver melhor os detalhes das letrinhas do jornal).
▪ Base.
▪ Álcool.
▪ Recipiente (* para incluir um pouco de álcool).
▪ Haste Flexível (*de preferência para limpeza e molhar no álcool).
▪ Tesoura (*pra cortar o pedacinho ).

&nbsp;Modo de fazer






&nbsp;Dicas :
Em vez de molhar diretamente o dedo no álcool, você pode passar com  uma Haste Flexível (*o famoso Cotonete) molhando de álcool na unha. Logo  em seguida, coloque o pedaço de jornal (**corte um pouco maior que a  sua unha) na unha e pressione bem (com um pouco de força de preferência  pra fixar bem as letras), depois passe mais uma vez em cima do jornal o  Haste Flexivel molhado de álcool.  
Você pode fazer francesinha de Jornal, fica lindo também.

beijos lindas :* e até a próxima ! ",17567593360842307216,vitoria lopys.,3,
