,0,1,wc
500756,7930337763964362012,1600009401538636752,0
500757,4761201206458687372,1600009401538636752,0
500758,1297033737519073131,1600009401538636752,0
500759,3752176386259709592,1600009401538636752,0
500760,366122772010640534,1600009401538636752,0
500761,1111121762829297836,1600009401538636752,0
500762,2670870503763085410,1600009401538636752,0
500763,3372396191575169328,1600009401538636752,0
500764,606580882249265187,1600009401538636752,0
500765,3172877235548797549,1600009401538636752,0
500797,7790772715706029049,1600061200608048489,54
500799,8114032592951467838,1600062608363626471,81
500801,5524548299966936546,1600062608363626471,402
500802,1652367909841568682,1600062608363626471,184
500803,1180847716017986295,1600062608363626471,331
500808,8999537628717666370,1600062608363626471,153
500810,669734757886568968,1600075314817195252,0
500812,5796101949428539926,1600075314817195252,0
500840,688345327090686983,1600114166322503513,677
500848,5134604605205238066,1600150720124276213,40
500849,5018855907547102958,1600150720124276213,24
500850,2600163229841509400,1600150720124276213,360
500851,8353194354288301702,1600150720124276213,119
500852,6574185829896510580,1600150720124276213,61
500853,1370709487130989275,1600150720124276213,69
500854,1948084404852062555,1600150720124276213,161
500855,3389182929945948076,1600150720124276213,60
500856,1259174005229680896,1600150720124276213,391
500857,498927191608683040,1600150720124276213,32
500899,3715053293646787293,1600243421545479450,444
500900,4312793083853602261,1600243421545479450,8
500902,1758535807987062544,1600243421545479450,233
500904,2071098387791283155,1600243421545479450,130
500906,4776661057144097072,1600243421545479450,35
500907,8858556815338475170,1600243421545479450,191
500908,2411582190216396521,1600253475015382106,15
500911,1962400293520402593,1600253475015382106,15
500912,5291958837589967300,1600253475015382106,15
500914,5666186771822266742,1600253475015382106,15
500925,593951983427496744,1600263466387638969,514
500928,1935344631607728653,16002902,92
500929,8652156710092051743,16002902,241
500935,6023944272801528593,16002902,45
500944,8044830353622634931,1600310091348331365,151
500954,3505222600474590050,1600316994762913665,512
500958,5418102249029389617,1600320964827685030,225
500960,7056305453417629500,1600320964827685030,40
500963,1193609679919633496,1600320964827685030,0
500967,6976506485844965973,1600320964827685030,18
500968,5325039323930285931,1600323356719743777,37
501022,853472298978975370,1600345822036913504,976
501032,1367460132370150632,1600370654851428304,10
501033,3324282648092923987,1600370654851428304,111
501040,2510563587930890384,1600370654851428304,40
501049,7227598664632231209,1600373090076881369,225
501053,5687226323855282459,1600373922338615952,229
501058,3728090043820741279,1600373922338615952,283
501063,7158723082412935025,1600375968455781035,256
501064,8340133544536680485,1600375968455781035,3839
501069,6502114226534927677,1600375968455781035,1830
501070,4268013127435969797,1600375968455781035,152
501071,3734841102471565799,1600375968455781035,429
501073,7744195107386170968,1600384627149488083,194
501074,3400325803524935158,1600384627149488083,67
501075,2438362199758176515,1600384627149488083,180
501077,7733541329688488242,1600384627149488083,358
501078,5345377075210410633,1600384627149488083,62
501079,3584983242281781373,1600384627149488083,131
501080,9062920457250277002,1600384627149488083,19
501090,4985701537442669141,160040418442912702,38
501105,5582011273240525939,1600420505094289785,23
501107,446433076875292161,1600420505094289785,493
501109,5879391866614471458,1600420505094289785,110
501111,2661155132209261138,1600420505094289785,262
501131,7297699507317753651,1600445419832532197,14
501132,6046373795095643492,1600445419832532197,5
501133,8248564981863394045,1600445419832532197,9
501134,1781345680084560629,1600445419832532197,2
501138,5700798845462177488,1600445419832532197,14
501142,2229633342991578135,1600468934865529370,61
501149,5606503157660987117,1600473948413965498,52
501158,6748688360557704119,1600488132885284601,9
501159,4767727155989049689,1600488132885284601,0
501160,5163784258155891731,1600488132885284601,0
501163,992825616033476027,1600488132885284601,0
501166,5371264959885963879,1600488132885284601,0
501167,2012222196395269059,1600488132885284601,0
501168,1951186672788400339,1600513194918482799,499
501174,3725319270953491324,1600513194918482799,136
501188,4718851312000081945,1600527842003096163,698
501200,356304714794431838,1600545949986367582,101
501204,4323167205854105443,1600545949986367582,399
501209,2060711633411044089,1600548452418901185,419
501216,1404753869078355301,1600548452418901185,523
501222,2813878382776069942,1600557106834477121,110
501223,4916290919770009186,1600557106834477121,44
501237,5690719698071623565,1600575305959860583,0
501238,6956862146093740775,1600575305959860583,0
501239,6251840698299675858,1600575305959860583,15
501240,1285403618892672972,1600575305959860583,0
501241,188895777275702940,1600575305959860583,0
501242,2833802592905850790,1600575305959860583,0
501243,2790716633441578810,1600575305959860583,0
501244,2724103976260978853,1600575305959860583,0
501245,2313105253599725323,1600575305959860583,0
501246,4646848792526019888,1600575305959860583,0
501259,7553805486839262581,1600588823583397810,222
501261,2554818598294549076,1600588823583397810,1807
501263,2251297389350028131,1600615115855528410,25
501264,5306112845823397173,1600615115855528410,529
501272,4559273104168378217,1600615115855528410,44
501284,4720732018505399815,16006328,439
501285,6122773959690356620,16006328,141
501286,1873207141240784854,16006328,406
501288,3360416030342227162,16006328,409
501290,4375584056658790948,16006328,313
501291,2650825853387296049,16006328,690
501292,1647870849048727790,16006328,155
501294,6647728606706854160,160066148010777653,115
501295,5863247883655446970,160066148010777653,277
501299,5414884965894631390,160066148010777653,273
501301,8709151019591299060,160066148010777653,536
501302,3245136268974084939,160066148010777653,64
501303,3794188194330971839,1600666263213288093,117
501305,3661101212960035853,1600666263213288093,48
501306,1775148762807103056,1600666263213288093,35
501310,6234731506300165139,1600666263213288093,50
501312,2527717387585790147,1600666263213288093,51
501313,5026402391017928346,1600672147433775585,97
501314,6903124970460108573,1600672147433775585,353
501315,6093157510215873427,1600672147433775585,169
501320,3668682782987638285,1600672147433775585,116
501323,9076939965994553076,1600687773507498070,181
501330,269399434649707162,1600697354268125938,106
501336,5798864554273961776,1600697354268125938,811
501340,4289179194356067217,1600698430773359537,148
501342,757706276316554311,1600698430773359537,213
501367,6578128330783806579,1600733896531554959,0
501368,1706934816124715400,1600733896531554959,21
501369,6185999993998775168,1600733896531554959,17
501370,5602822001784011356,1600733896531554959,17
501371,4970055718916899911,1600733896531554959,21
501373,3815000500160893943,1600733896531554959,17
501375,1395903191916348834,1600733896531554959,11
501386,2830046230299273454,1600776559368786054,54
501387,8020098934617975664,1600776559368786054,2
501388,6911224543075924405,1600776559368786054,2
501390,3271729486514243514,1600776559368786054,9
501409,7264951028820673428,1600796494113731276,0
501411,5391439745785984031,1600796494113731276,11
501428,7056896739186776007,1600830413202040267,780
501429,1112550518729366567,1600830413202040267,238
501431,8696456823008629620,1600830413202040267,581
501432,1113081949397744922,1600830413202040267,393
501443,2034989445270687170,1600840483589384353,458
501447,3268373756267487593,1600840483589384353,408
501465,7193084174269665714,1600862022972998759,0
501467,8302163787776121318,1600862022972998759,0
501483,2299344226854819339,1600883429782397128,1937
501485,8440815906845456819,1600883429782397128,967
501486,3316413829099360786,1600883429782397128,4589
501488,4715718677408433786,1600883429782397128,198
501489,5967418446677901206,1600883429782397128,80
501490,910347344696126835,1600883429782397128,1991
501491,7405343727681964296,1600883429782397128,2243
501499,8352374958963289404,1600888296830029849,8
501501,5820107637335558797,1600888296830029849,15
501509,6188460037098472093,16009371242363028,2573
501515,4933700447068011470,16009371242363028,1188
501598,2427331665745527892,1601010236358399844,181
501599,1956271827498421467,1601010236358399844,105
501601,6705395258728082846,1601010236358399844,435
501602,1692566715004727152,1601010236358399844,200
501603,7543717193712429216,1601010236358399844,88
501604,4442219954516021912,1601010236358399844,195
501605,2314362119580401522,1601010236358399844,283
501606,4339012810608550394,1601010236358399844,223
501608,4352472293677897280,1601018111768202380,62
501609,449208647987539787,1601018111768202380,46
501614,6890367701549974292,1601018111768202380,607
501616,792953533555855064,1601018111768202380,399
501617,7627977131355000542,1601044114854789170,495
501618,116172204880492627,1601044114854789170,463
501619,2941265738579624393,1601044114854789170,443
501620,5379578347541160472,1601044114854789170,242
501623,4537630406969470849,1601044114854789170,577
501624,6810015793491272256,1601044114854789170,215
501627,2133205477532586780,1601047139657496492,438
501628,8975605423504061116,1601047139657496492,0
501629,5300067656983549280,1601047139657496492,0
501632,3169478799230420098,1601047139657496492,0
501633,6455494396755239030,1601047139657496492,25
501635,7687425327471710110,1601047139657496492,0
501640,8183311388625207632,1601047631362026159,192
501641,3906856538291570281,1601047631362026159,99
501652,288280035743388959,1601053517369302868,279
501656,5286459706208097019,1601053517369302868,389
501686,2739846151601594801,1601131964943937498,109
501708,5339967158794383388,1601146754592494611,392
501714,350097037643836811,1601147908445113664,91
501716,6493139545803242364,1601147908445113664,25
501719,7278103657937602508,1601147908445113664,13
501721,4675845096749331787,1601147908445113664,12
501722,3722968345629698779,1601147908445113664,11
501725,6317716480154259156,1601162083716747789,154
501728,3097724643403982577,1601162083716747789,0
501731,4620947013465557912,1601162083716747789,22
501751,8811787465016016633,16012148,564
501754,7987478543770212813,1601216792111246489,743
501764,7654832660677409820,1601236248253209855,244
501769,5934787838505346831,1601236248253209855,211
501774,2532104175562311130,1601246199037640551,501
501775,2935259671258527936,1601246199037640551,1761
501810,2448014024740881721,1601308371193091876,113
501832,5965411513156788350,1601316809245076747,835
501841,1449917679783727479,1601316809245076747,0
501842,7254507255801647620,1601332891185658626,9
501844,6833979812558579308,1601332891185658626,9
501846,273624593172508265,1601332891185658626,13
501852,2244362545066321984,1601336819845766586,248
501858,5946079872613622058,1601336819845766586,218
501860,5356997634030348518,1601336819845766586,427
501885,8972018015213467653,1601382997696946746,0
501892,8500978323215210779,1601396028459281551,26
501893,1272986605331193170,1601396028459281551,0
501894,1720128330554752674,1601396028459281551,3
501895,5636127441533422743,1601396028459281551,49
501897,2086687226087766131,1601396028459281551,39
501898,8188495465325540899,1601396028459281551,45
501899,7100386834807940979,1601396028459281551,59
501903,1812995063004984276,1601396760441963832,244
501905,464322388451655112,1601396760441963832,306
501909,5526519904237572561,1601396760441963832,376
501910,5506806469904176702,1601396760441963832,320
501978,1358958524486202905,1601490204405622512,0
501980,4485186098109064244,1601490204405622512,120
501981,7341737123072090466,1601490204405622512,0
501982,4832255624454401768,1601490204405622512,49
502017,1440290731914435769,1601554403404133856,0
502022,8600265986247457025,1601554403404133856,0
502023,4083110551229248744,1601554403404133856,13
502036,9084859557361936284,1601605113695282629,188
502051,2531462860367324577,1601639451111513871,388
502070,1290561313041909443,1601657330317208843,706
502073,5409279456021077332,1601681998497041522,197
502075,7922514397051206422,1601681998497041522,127
502076,8055999288317273717,1601681998497041522,5
502079,1619314541233785511,1601681998497041522,97
502080,1644585857245810939,1601681998497041522,314
502081,5139991278945817796,1601681998497041522,37
502082,1323690139101533960,1601681998497041522,207
502086,8865842471576820994,1601684733308032674,85
502088,9211394906107791204,1601684733308032674,35
502089,970102970030987482,1601684733308032674,0
502090,7543899391428600000,1601684733308032674,222
502093,407207907432411343,160168729312015890,595
502097,7306251422065176819,160168729312015890,3449
502099,1065864539575940701,160168729312015890,243
502100,7331438384430003365,160168729312015890,12
502102,8711339525310714852,160168729312015890,172
502114,1256424726216026791,1601704189083499726,1041
502115,4712611105416103519,1601704189083499726,843
502121,4398165290188298613,1601704189083499726,1643
502135,4923904867796094271,1601736014892674308,2320
502139,8041167807998111737,1601751521521061064,80
502142,7130232234738485116,1601751521521061064,38
502143,3604970939929537394,1601751521521061064,179
502145,995269953816315238,1601751521521061064,96
502146,6724007375050673861,1601751521521061064,69
502147,6081829481999492302,1601751521521061064,2
502148,8506341817366146557,1601751521521061064,10
502159,5103870421451585881,1601758509575821626,363
502160,1107966014953481671,1601758509575821626,37
502163,344734784822574582,1601758509575821626,346
502164,358392353411967374,1601758509575821626,707
502165,1434877047450863656,1601758509575821626,57
502177,6962759104187316206,1601771780372840434,204
502181,827689778280803910,1601771780372840434,137
502182,6122373396420362321,1601771780372840434,209
502183,832831455717406844,1601771780372840434,1950
502185,7700324891537291890,1601771780372840434,1949
502186,6458592218877290001,1601771780372840434,406
502207,8770814324979721459,1601804967898921071,780
502208,1366300212854908385,1601804967898921071,395
502210,7570286047475196185,1601804967898921071,479
502211,8085136971933222200,1601804967898921071,554
502212,7132458834308354099,1601804967898921071,496
502214,4502971064025528160,1601804967898921071,177
502228,5209850610724956149,1601816750059503842,609
502231,7318581877028531821,1601816750059503842,835
502267,37428180452655865,160184948876781859,0
502274,764804582723674362,160184948876781859,15
502288,1579165203916207039,1601867511085939863,936
502291,8798830231679540174,1601867511085939863,144
502296,3529897411200942483,1601869268978894574,176
502297,6521839897899420936,1601869268978894574,408
502301,4363549355299832322,1601869268978894574,243
502302,5911569372444368355,1601869268978894574,44
502303,2568084616827321319,1601869268978894574,190
502322,4980900243736035155,1601931962436425200,482
502326,4347012072837471936,1601931962436425200,45
502328,5015760132142886724,1601931962436425200,335
502336,8717025453568852524,1601946778416568745,0
502337,2003347470399171228,1601946778416568745,163
502339,4506791456146282103,1601946778416568745,47
502342,7187226061656122676,1601955132698646718,1
502369,7422232920496319251,1601992821016665381,16
502370,432377949069594583,1601992821016665381,51
502371,7480290359324940992,1601992821016665381,49
502372,4503244421924269964,1601992821016665381,38
502374,7365179758174188849,1601992821016665381,167
502376,535758611894951935,1601992821016665381,29
502377,2855132024086578877,1601992821016665381,184
502378,2613546120596418346,1601996200277433609,154
502379,8272507267002284766,1601996200277433609,148
502380,3543261528791576342,1601996200277433609,103
502382,4954165597142263622,1601996200277433609,44
502383,1290922634841703206,1601996200277433609,19
502384,8939170330124307285,1601996200277433609,177
502385,5483222167232061814,1601996200277433609,9
502386,3921920448748231978,1601996200277433609,105
502387,621712109356757887,1601996200277433609,109
502388,3708125800434303941,1602013416530575219,122
502393,8682580968825874557,1602013416530575219,0
502429,8383730264300962393,1602048034758321107,60
502430,58519364047403718,1602048034758321107,51
502434,5210903488583118494,1602048034758321107,52
502437,1363843299886247083,1602049329528744224,176
502438,2937086910082222194,1602049329528744224,157
502439,289566053057867834,1602049329528744224,93
502443,1677312886429632428,1602049329528744224,127
502444,4831443811341393900,1602049329528744224,86
